id,topic,likes,comments
695707917166339_1016904598380001,3,10,18
695707917166339_1016537188416742,3,0,1
695707917166339_1016417401762054,1,17,10
695707917166339_1016833991720395,3,4,20
695707917166339_1016904551713339,3,25,2
695707917166339_1016904461713348,3,1,3
695707917166339_1016733855063742,3,15,4
695707917166339_1016089035128224,1,2,2
695707917166339_1015953708475090,3,1,2
695707917166339_1016310391772755,1,2,11
695707917166339_1016214155115712,3,0,4
695707917166339_1016214125115715,2,1,6
695707917166339_1016089295128198,3,12,3
695707917166339_1016089078461553,1,25,3
695707917166339_1016310355106092,3,2,3
695707917166339_1016214385115689,0,3,0
695707917166339_1016214261782368,1,1,1
695707917166339_1016409535096174,3,1,6
695707917166339_1016089121794882,3,1,6
695707917166339_1015953921808402,3,23,2
695707917166339_1016310365106091,3,1,2
695707917166339_1016214205115707,1,0,8
695707917166339_1016089588461502,1,1,10
695707917166339_1016310378439423,0,0,0
695707917166339_1015953858475075,0,25,9
695707917166339_1016089551794839,3,1,4
695707917166339_1016310401772754,3,3,1
695707917166339_1015953761808418,0,6,1
695707917166339_1016409465096181,1,1,5
695707917166339_1015953651808429,1,0,2
695707917166339_1016409391762855,1,13,3
695707917166339_1016409608429500,3,0,5
695707917166339_1015603631843431,0,3,5
695707917166339_1015603715176756,3,0,2
695707917166339_1015505635186564,3,3,7
695707917166339_1015822241821570,3,0,1
695707917166339_1015822185154909,3,1,1
695707917166339_1015603658510095,3,6,1
695707917166339_1015603688510092,2,25,2
695707917166339_1015505581853236,1,4,1
695707917166339_1015505695186558,3,6,1
695707917166339_1015178271885967,3,25,2
695707917166339_1015389775198150,3,1,1
695707917166339_1015706521833142,1,25,8
695707917166339_1015412475195880,1,12,0
695707917166339_1015505551853239,2,0,1
695707917166339_1015389731864821,2,4,5
695707917166339_1015819791821815,3,2,3
695707917166339_1015707751833019,3,1,1
695707917166339_1015706588499802,0,7,1
695707917166339_1015706555166472,2,5,6
695707917166339_1015822231821571,3,3,0
695707917166339_1015822198488241,3,10,4
695707917166339_1015706538499807,3,0,2
695707917166339_1015389805198147,3,7,6
695707917166339_1015603785176749,3,4,4
695707917166339_1014821991921595,0,9,2
695707917166339_1014857608584700,2,3,4
695707917166339_1014994548571006,2,9,6
695707917166339_1014994508571010,0,17,4
695707917166339_1014994525237675,1,2,0
695707917166339_1015141441889650,0,2,1
695707917166339_1015141371889657,1,1,5
695707917166339_1014857645251363,3,3,1
695707917166339_1014857598584701,1,9,6
695707917166339_1014918735245254,1,3,1
695707917166339_1014994498571011,2,0,2
695707917166339_1015177121886082,3,1,1
695707917166339_1014857628584698,3,3,2
695707917166339_1015141298556331,2,2,2
695707917166339_1014918711911923,3,1,2
695707917166339_1014918788578582,0,3,2
695707917166339_1014857655251362,1,4,4
695707917166339_1015141335222994,3,0,1
695707917166339_1014918768578584,3,0,12
695707917166339_1015141508556310,3,2,3
695707917166339_1015177058552755,3,9,1
695707917166339_1014918751911919,0,18,7
695707917166339_1014994568571004,3,25,5
695707917166339_1015177428552718,2,1,1
695707917166339_1015176971886097,1,11,5
695707917166339_1014667031937091,3,1,1
695707917166339_1014766378593823,3,0,2
695707917166339_1014821938588267,3,3,1
695707917166339_1014616181942176,3,7,0
695707917166339_1014716725265455,3,0,1
695707917166339_1014716801932114,3,2,3
695707917166339_1014766325260495,2,25,21
695707917166339_1014616261942168,2,1,0
695707917166339_1014616068608854,1,5,4
695707917166339_1014667065270421,3,2,14
695707917166339_1014766338593827,3,3,2
695707917166339_1014821971921597,3,25,25
695707917166339_1014616235275504,3,0,1
695707917166339_1014716555265472,3,20,5
695707917166339_1014766311927163,3,3,1
695707917166339_1014616148608846,3,3,0
695707917166339_1014667091937085,3,2,0
695707917166339_1014821955254932,0,0,3
695707917166339_1014667058603755,0,0,0
695707917166339_1014766358593825,2,13,3
695707917166339_1014716765265451,3,8,2
695707917166339_1014716678598793,3,2,4
695707917166339_1014259681977826,3,1,1
695707917166339_1014821915254936,3,2,0
695707917166339_1014667051937089,3,25,1
695707917166339_1013596638710797,3,1,5
695707917166339_1014128121990982,3,1,1
695707917166339_1013824065354721,3,0,9
695707917166339_1014135958656865,0,2,2
695707917166339_1013990832004711,1,0,5
695707917166339_1013824028688058,1,7,0
695707917166339_1013885928681868,3,7,4
695707917166339_1014259585311169,3,25,7
695707917166339_1013561025381025,3,2,0
695707917166339_1013594395377688,3,0,2
695707917166339_1013824352021359,3,0,3
695707917166339_1014259628644498,3,2,9
695707917166339_1013823972021397,0,2,8
695707917166339_1014128255324302,3,2,6
695707917166339_1014128148657646,1,1,4
695707917166339_1013990942004700,3,0,1
695707917166339_1013596652044129,3,3,6
695707917166339_1013596665377461,3,0,2
695707917166339_1013990798671381,3,2,1
695707917166339_1014128205324307,3,3,6
695707917166339_1014259658644495,3,0,3
695707917166339_1013885942015200,0,14,7
695707917166339_1013824095354718,3,7,0
695707917166339_1013560918714369,3,1,4
695707917166339_1013990952004699,1,25,9
695707917166339_1013023402101454,1,0,2
695707917166339_1012950045442123,3,1,5
695707917166339_1013360718734389,3,5,1
695707917166339_1013023345434793,2,0,2
695707917166339_1013316948738766,3,9,1
695707917166339_1013049762098818,0,21,1
695707917166339_1013001132103681,2,25,12
695707917166339_1013049825432145,3,25,2
695707917166339_1013440138726447,1,11,5
695707917166339_1013049798765481,3,14,9
695707917166339_1013560848714376,3,1,0
695707917166339_1013049778765483,3,4,2
695707917166339_1012949785442149,0,14,4
695707917166339_1012949838775477,1,0,3
695707917166339_1013560885381039,3,11,7
695707917166339_1012949705442157,3,15,5
695707917166339_1013023372101457,3,6,3
695707917166339_1012701152133679,0,2,0
695707917166339_1013189332084861,0,14,2
695707917166339_1013224278748033,3,25,5
695707917166339_1013406198729841,1,1,1
695707917166339_1012701172133677,3,1,0
695707917166339_1013339882069806,1,14,18
695707917166339_1013049788765482,1,7,6
695707917166339_1012949925442135,0,25,15
695707917166339_1012418245495303,3,2,10
695707917166339_1012701148800346,3,0,1
695707917166339_1012557785481349,1,25,5
695707917166339_1012641845472943,1,0,1
695707917166339_1012148268855634,0,5,2
695707917166339_1012279412175853,1,0,4
695707917166339_1012279435509184,2,0,6
695707917166339_1012148305522297,3,25,4
695707917166339_1012557745481353,0,0,5
695707917166339_1012148355522292,1,12,2
695707917166339_1012557772148017,3,2,2
695707917166339_1012418185495309,1,2,5
