id,topic,likes,comments
695707917166339_1000186346718493,1,0,2
695707917166339_1000697080000753,1,0,8
695707917166339_1000193930051068,1,1,0
695707917166339_999674883436306,1,0,2
695707917166339_999556800114781,1,0,4
695707917166339_999556680114793,1,3,1
695707917166339_999368913466903,1,0,2
695707917166339_999556900114771,1,4,0
695707917166339_999160493487745,1,2,2
695707917166339_998567106880417,1,0,4
695707917166339_998567096880418,1,2,6
695707917166339_998453066891821,1,12,7
695707917166339_998178173585977,1,1,3
695707917166339_997668926970235,1,1,8
695707917166339_998178843585910,1,2,1
695707917166339_997548880315573,1,3,3
695707917166339_998395193564275,1,0,4
695707917166339_997337537003374,1,5,5
695707917166339_996864730383988,1,0,3
695707917166339_996955217041606,1,0,0
695707917166339_996177847119343,1,2,3
695707917166339_996495247087603,1,1,1
695707917166339_996638740406587,1,1,7
695707917166339_996696367067491,1,2,4
695707917166339_996110807126047,1,0,2
695707917166339_996495280420933,1,0,5
695707917166339_996638730406588,1,0,0
695707917166339_995434720526989,1,0,0
695707917166339_995524170518044,1,2,3
695707917166339_995815170488944,1,2,8
695707917166339_995434750526986,1,24,4
695707917166339_995745503829244,1,2,3
695707917166339_995524383851356,1,0,2
695707917166339_995970667140061,1,0,2
695707917166339_994687797268348,1,10,1
695707917166339_995058237231304,1,2,10
695707917166339_994748923928902,1,20,4
695707917166339_995182530552208,1,25,3
695707917166339_994749560595505,1,2,1
695707917166339_994687897268338,1,0,1
695707917166339_994605097276618,1,0,2
695707917166339_993915384012256,1,3,0
695707917166339_993786210691840,1,0,8
695707917166339_993840830686378,1,1,2
695707917166339_993840817353046,1,13,2
695707917166339_994216037315524,1,1,5
695707917166339_993782377358890,1,1,0
695707917166339_993498770720584,1,3,18
695707917166339_993425450727916,1,5,8
695707917166339_993782050692256,1,1,3
695707917166339_993609237376204,1,0,2
695707917166339_993668264036968,1,0,0
695707917166339_993425470727914,1,0,1
695707917166339_993498744053920,1,2,2
695707917166339_993396234064171,1,1,3
695707917166339_993609217376206,1,1,2
695707917166339_992973550773106,1,0,1
695707917166339_993026327434495,1,0,3
695707917166339_993187004085094,1,6,6
695707917166339_992558974147897,1,25,6
695707917166339_992869010783560,1,3,3
695707917166339_992649550805506,1,0,1
695707917166339_992938930776568,1,3,3
695707917166339_992804767456651,1,0,2
695707917166339_992804184123376,1,11,3
695707917166339_992868604116934,1,5,4
695707917166339_992868787450249,1,8,5
695707917166339_992005487536579,1,25,10
695707917166339_992155487521579,1,2,5
695707917166339_992005280869933,1,0,6
695707917166339_992157204188074,1,11,1
695707917166339_992230190847442,1,0,1
695707917166339_992156420854819,1,9,1
695707917166339_992230280847433,1,4,1
695707917166339_991833820887079,1,2,1
695707917166339_991550440915417,1,0,1
695707917166339_991834190887042,1,5,4
695707917166339_991834157553712,1,0,1
695707917166339_991833844220410,1,14,0
695707917166339_991506264253168,1,0,0
695707917166339_991551147582013,1,1,7
695707917166339_991332804270514,1,5,1
695707917166339_991332777603850,1,3,2
695707917166339_991350924268702,1,0,4
695707917166339_991015210968940,1,3,1
695707917166339_991361037601024,1,0,4
695707917166339_991290117608116,1,16,2
695707917166339_990712960999165,1,21,5
695707917166339_990843720986089,1,0,12
695707917166339_990782364325558,1,11,1
695707917166339_990610761009385,1,3,2
695707917166339_990662061004255,1,4,1
695707917166339_990712924332502,1,22,2
695707917166339_989969721073489,1,2,5
695707917166339_990565301013931,1,2,3
695707917166339_990103637726764,1,1,0
695707917166339_990162204387574,1,5,3
695707917166339_990565441013917,1,1,4
695707917166339_989562471114214,1,3,0
695707917166339_989314031139058,1,1,2
695707917166339_989445921125869,1,25,4
695707917166339_989362277800900,1,2,3
695707917166339_989501897786938,1,0,2
695707917166339_989471974456597,1,1,5
695707917166339_989338884469906,1,25,8
695707917166339_989769231093538,1,1,2
695707917166339_989362051134256,1,1,3
695707917166339_989861751084286,1,1,1
695707917166339_988907351179726,1,1,1
695707917166339_989055017831626,1,3,0
695707917166339_988880367849091,1,0,0
695707917166339_988907474513047,1,0,1
695707917166339_989271521143309,1,1,1
695707917166339_988930644510730,1,1,4
695707917166339_988775807859547,1,0,3
695707917166339_988774964526298,1,10,1
695707917166339_988819097855218,1,25,4
695707917166339_988776871192774,1,0,3
695707917166339_988775741192887,1,0,1
695707917166339_988851424518652,1,0,1
695707917166339_988777914526003,1,6,2
695707917166339_988808761189585,1,1,5
695707917166339_988668007870327,1,2,4
695707917166339_988360664567728,1,1,1
695707917166339_988675191202942,1,9,7
695707917166339_988589244544870,1,0,2
695707917166339_988132651257196,1,8,2
695707917166339_988222231248238,1,3,2
695707917166339_988222824581512,1,1,9
695707917166339_988251294578665,1,0,3
695707917166339_988251261245335,1,0,1
695707917166339_987482727988855,1,0,5
695707917166339_987482757988852,1,0,3
695707917166339_987679424635852,1,5,7
695707917166339_987672261303235,1,1,1
695707917166339_987296614674133,1,0,2
695707917166339_987296608007467,1,0,1
695707917166339_987277041342757,1,3,6
695707917166339_987482637988864,1,13,4
695707917166339_987140308023097,1,1,1
695707917166339_987125524691242,1,0,2
695707917166339_987125551357906,1,1,0
695707917166339_987098938027234,1,1,2
695707917166339_987154688021659,1,1,5
695707917166339_987140318023096,1,0,1
695707917166339_987082394695555,1,1,7
695707917166339_986866268050501,1,9,3
695707917166339_986882254715569,1,14,2
695707917166339_986996571370804,1,0,3
695707917166339_986585468078581,1,5,1
695707917166339_986585498078578,1,25,14
695707917166339_986528388084289,1,13,6
695707917166339_986408531429608,1,1,1
695707917166339_986005218136606,1,1,0
695707917166339_985901164813678,1,4,4
695707917166339_986030238134104,1,0,0
695707917166339_986030218134106,1,2,1
695707917166339_985788041491657,1,8,4
695707917166339_985758084827986,1,0,3
695707917166339_985442711526190,1,0,6
695707917166339_985381914865603,1,9,2
695707917166339_985413921529069,1,25,6
695707917166339_985509308186197,1,0,1
695707917166339_985739111496550,1,18,1
695707917166339_985306194873175,1,0,1
695707917166339_985352701535191,1,0,1
695707917166339_985329701537491,1,1,3
695707917166339_984964121574049,1,25,5
695707917166339_984964148240713,1,0,1
695707917166339_985109148226213,1,7,2
695707917166339_984919601578501,1,0,3
695707917166339_985088111561650,1,2,1
695707917166339_984838118253316,1,0,0
695707917166339_984919571578504,1,1,3
695707917166339_984806201589841,1,3,1
695707917166339_984625801607881,1,4,7
695707917166339_984836398253488,1,25,5
695707917166339_984632931607168,1,15,1
695707917166339_984810348256093,1,25,9
695707917166339_984695981600863,1,0,1
695707917166339_984535201616941,1,13,1
695707917166339_984174488319679,1,16,0
695707917166339_984211274982667,1,11,0
695707917166339_984571488279979,1,3,2
695707917166339_984238184979976,1,1,2
695707917166339_984174498319678,1,6,2
695707917166339_984554814948313,1,25,7
695707917166339_984554791614982,1,0,4
695707917166339_983960875007707,1,10,1
695707917166339_983960891674372,1,6,3
695707917166339_984144024989392,1,2,2
695707917166339_983921671678294,1,3,2
695707917166339_983939768343151,1,0,1
695707917166339_983960928341035,1,5,3
695707917166339_983921705011624,1,7,4
695707917166339_984019645001830,1,23,1
695707917166339_984019621668499,1,1,2
695707917166339_983921651678296,1,25,0
695707917166339_983651691705292,1,0,4
695707917166339_983652081705253,1,0,1
695707917166339_983597455044049,1,0,0
695707917166339_983651775038617,1,2,3
695707917166339_983597408377387,1,0,1
695707917166339_983567145047080,1,2,4
695707917166339_983566551713806,1,25,20
695707917166339_983305591739902,1,1,1
695707917166339_983126758424452,1,0,1
695707917166339_983050698432058,1,0,7
695707917166339_982485465155248,1,0,1
695707917166339_982485435155251,1,0,8
695707917166339_982317181838743,1,5,0
695707917166339_982264645177330,1,1,6
695707917166339_982284601842001,1,1,3
695707917166339_982445075159287,1,19,3
695707917166339_982352155168579,1,0,7
695707917166339_982245608512567,1,0,2
695707917166339_982193378517790,1,3,0
695707917166339_982227015181093,1,4,6
695707917166339_982061451864316,1,8,5
695707917166339_981275171942944,1,1,1
695707917166339_981287581941703,1,6,1
695707917166339_981316578605470,1,0,2
695707917166339_981318531938608,1,2,0
695707917166339_981318575271937,1,4,2
695707917166339_981102905293504,1,1,0
695707917166339_981135501956911,1,1,1
695707917166339_981275138609614,1,0,1
695707917166339_981199861950475,1,1,3
695707917166339_981164591954002,1,2,0
695707917166339_981199848617143,1,6,8
695707917166339_981231778613950,1,25,1
695707917166339_981031395300655,1,25,6
695707917166339_981164578620670,1,0,0
695707917166339_980530798684048,1,4,1
695707917166339_980490935354701,1,0,1
695707917166339_980674875336307,1,3,1
695707917166339_980593548677773,1,1,1
695707917166339_980625448674583,1,2,4
695707917166339_979951952075266,1,0,1
695707917166339_979906838746444,1,3,3
695707917166339_980414105362384,1,6,6
695707917166339_979896482080813,1,8,2
695707917166339_979841532086308,1,0,6
695707917166339_979797008757427,1,0,1
695707917166339_979527398784388,1,18,7
695707917166339_979499415453853,1,6,2
695707917166339_979703222100139,1,1,2
695707917166339_979499462120515,1,4,8
695707917166339_979843158752812,1,1,2
695707917166339_979417052128756,1,3,2
695707917166339_979447555459039,1,8,9
695707917166339_979238162146645,1,5,14
695707917166339_979058572164604,1,0,9
695707917166339_979097008827427,1,0,2
695707917166339_979057362164725,1,4,2
695707917166339_979096938827434,1,3,4
695707917166339_978595328877595,1,13,2
695707917166339_978503275553467,1,25,6
695707917166339_978594078877720,1,8,2
695707917166339_978830355520759,1,25,1
695707917166339_978830295520765,1,4,9
695707917166339_979031825500612,1,22,7
695707917166339_978799982190463,1,0,2
695707917166339_978259388911189,1,0,3
695707917166339_978079435595851,1,8,1
695707917166339_978259475577847,1,0,1
695707917166339_978161905587604,1,0,4
695707917166339_978017538935374,1,1,2
695707917166339_977671478969980,1,25,4
695707917166339_978061875597607,1,4,2
695707917166339_978040422266419,1,3,1
695707917166339_977180309019097,1,1,2
695707917166339_977102682360193,1,8,2
695707917166339_977357742334687,1,0,2
695707917166339_977083409028787,1,1,9
695707917166339_976957362374725,1,6,3
695707917166339_977000665703728,1,0,5
695707917166339_976791205724674,1,0,1
695707917166339_976809499056178,1,3,3
695707917166339_977003049036823,1,0,3
695707917166339_976936255710169,1,0,12
695707917166339_976585532411908,1,2,4
695707917166339_976634072407054,1,0,0
695707917166339_976006712469790,1,4,2
695707917166339_976030885800706,1,2,6
695707917166339_976496805754114,1,25,6
695707917166339_976057519131376,1,1,2
695707917166339_975739449163183,1,25,4
695707917166339_975403172530144,1,14,1
695707917166339_975729262497535,1,1,3
695707917166339_975829332487528,1,2,4
695707917166339_975619522508509,1,1,4
695707917166339_975110565892738,1,9,5
695707917166339_975072895896505,1,2,1
695707917166339_974934602577001,1,1,1
695707917166339_975213069215821,1,1,1
695707917166339_974843562586105,1,0,4
695707917166339_974843642586097,1,3,3
695707917166339_974203499316778,1,19,1
695707917166339_974279765975818,1,2,2
695707917166339_974648582605603,1,25,5
695707917166339_974279782642483,1,5,5
695707917166339_974027642667697,1,0,4
695707917166339_973994346004360,1,0,10
695707917166339_973659146037880,1,3,5
695707917166339_973659189371209,1,1,0
695707917166339_973659246037870,1,2,1
695707917166339_973380839399044,1,2,1
695707917166339_973137942756667,1,0,4
695707917166339_973454012725060,1,11,4
695707917166339_973096909427437,1,0,2
695707917166339_973164376087357,1,4,1
695707917166339_973380826065712,1,3,0
695707917166339_973019832768478,1,25,2
695707917166339_972889062781555,1,3,2
695707917166339_972613139475814,1,3,2
695707917166339_973066419430486,1,11,1
695707917166339_972551559481972,1,1,1
695707917166339_972391432831318,1,0,2
695707917166339_972551502815311,1,25,0
695707917166339_972449829492145,1,0,1
695707917166339_972358272834634,1,25,11
695707917166339_972343399502788,1,0,0
695707917166339_972343412836120,1,0,1
695707917166339_972304802839981,1,0,0
695707917166339_972325359504592,1,0,2
695707917166339_972005299536598,1,7,2
695707917166339_971858956217899,1,0,5
695707917166339_971430219594106,1,0,4
695707917166339_971719936231801,1,1,1
695707917166339_971719919565136,1,5,4
695707917166339_971312776272517,1,2,0
695707917166339_971247259612402,1,7,1
695707917166339_971294396274355,1,9,1
695707917166339_970925846311210,1,3,1
695707917166339_970767229660405,1,0,4
695707917166339_970856962984765,1,0,3
695707917166339_970901402980321,1,1,5
695707917166339_970360753034386,1,10,4
695707917166339_970587476345047,1,12,2
695707917166339_970720879665040,1,4,2
695707917166339_970182503052211,1,1,3
695707917166339_970587449678383,1,0,3
695707917166339_969725599764568,1,0,4
695707917166339_970161759720952,1,7,3
695707917166339_970092099727918,1,0,0
695707917166339_969750939762034,1,0,2
695707917166339_969756453094816,1,0,1
695707917166339_969668819770246,1,9,4
695707917166339_969605316443263,1,4,1
695707917166339_969697943100667,1,1,1
695707917166339_969551676448627,1,1,1
695707917166339_969697926434002,1,1,3
695707917166339_969628703107591,1,0,1
695707917166339_969533809783747,1,5,1
695707917166339_969100036493791,1,1,3
695707917166339_969067213163740,1,2,3
695707917166339_969462019790926,1,0,5
